AssetClass,Code,Name,ISIN,Sector,Region,SpotPrice,Currency,ImpliedVol3m,DividendYield,RepoRate,VolatilityScore,Reasoning,Description,Tags
EQUITY,AEX Index,AEX,NL0000000107,Indice actions,Pays-Bas,1000,EUR,0.16,0.024,0.0,LOW,"Indice AEX (Pays-Bas) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice des 25 principales valeurs neerlandaises, dominae par ASML, Shell, Prosus, ING.",indice;pays-bas;amsterdam;tech
EQUITY,OMX Index,OMX Stockholm 30,SE0000337842,Indice actions,Suede,2900,SEK,0.17,0.03,0.0,LOW,"Indice OMX Stockholm 30 (Suede) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice des 30 valeurs suedoises les plus echangees (industrie, banques, telecoms).",indice;suede;stockholm
EQUITY,SXXP Index,STOXX Europe 600,EU0009658202,Indice actions,Europe,580,EUR,0.14,0.032,0.0,LOW,"Indice STOXX Europe 600 (Europe) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice large de 600 valeurs europeennes (17 pays, toutes tailles de capitalisation). Reference de la performance actions Europe.",indice;europe;large;benchmark
EQUITY,SX7E Index,EURO STOXX Banks,EU0009658426,Indice actions,Europe (zone euro),210,EUR,0.22,0.058,0.0,MEDIUM,"Indice EURO STOXX Banks (Europe (zone euro)) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.",Indice sectoriel des banques de la zone euro. Tres sensible aux taux et au risque de credit ; volatilite et dividende eleves.,indice;secteur;banques;taux
EQUITY,SX8P Index,STOXX Europe 600 Technology,EU0009658855,Indice actions,Europe,1050,EUR,0.24,0.01,0.0,MEDIUM,"Indice STOXX Europe 600 Technology (Europe) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice sectoriel technologie europeenne (ASML, SAP, Infineon, ...). Volatilite elevee, faible dividende.",indice;secteur;technologie
EQUITY,SPX Index,S&P 500,US78378X1072,Indice actions,Etats-Unis,7630,USD,0.14,0.013,0.0,LOW,"Indice S&P 500 (Etats-Unis) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice de reference du marche actions americain : 500 grandes capitalisations, forte pondaration technologie (Nvidia, Apple, Microsoft). Faible dividende, volatilite implicite basse (VIX ~16).",indice;etats-unis;benchmark;technologie
EQUITY,NDX Index,Nasdaq 100,US6311011026,Indice actions,Etats-Unis,24700,USD,0.18,0.007,0.0,MEDIUM,"Indice Nasdaq 100 (Etats-Unis) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice des 100 plus grandes valeurs non financieres du Nasdaq. Tres concentre sur la megacap technologie ; beta eleve, dividende quasi nul.",indice;etats-unis;technologie;croissance
EQUITY,INDU Index,Dow Jones Industrial Average,US2605661048,Indice actions,Etats-Unis,52400,USD,0.13,0.017,0.0,LOW,"Indice Dow Jones Industrial Average (Etats-Unis) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.",Indice price-weighted de 30 grandes valeurs industrielles et de services americaines. Profil plus defensif que le S&P 500.,indice;etats-unis;blue chip;defensif
EQUITY,RTY Index,Russell 2000,US7838221094,Indice actions,Etats-Unis,2920,USD,0.22,0.014,0.0,MEDIUM,"Indice Russell 2000 (Etats-Unis) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice des petites capitalisations americaines (small caps). Beta domestique eleve, sensible aux taux et au cycle, volatilite superieure aux large caps.",indice;etats-unis;small cap;cyclique
EQUITY,NKY Index,Nikkei 225,JP9010C00002,Indice actions,Japon,64500,JPY,0.2,0.017,0.0,MEDIUM,"Indice Nikkei 225 (Japon) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.",Indice price-weighted de 225 valeurs japonaises. Sensible au yen (correlation negative JPY/actions) et au cycle exportateur. Marche haussier soutenu en 2025-2026.,indice;japon;tokyo;yen;exportateur
EQUITY,TPX Index,TOPIX,JP9999K90005,Indice actions,Japon,3720,JPY,0.18,0.021,0.0,MEDIUM,"Indice TOPIX (Japon) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.",Indice large ponadere par la capitalisation de toutes les valeurs de la section Prime de la Bourse de Tokyo (~1700 titres). Plus representatif que le Nikkei.,indice;japon;large;benchmark
EQUITY,HSI Index,Hang Seng Index,HK0000004322,Indice actions,Hong Kong,26000,HKD,0.24,0.036,0.0,MEDIUM,"Indice Hang Seng Index (Hong Kong) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice de reference de Hong Kong : grandes valeurs chinoises et hongkongaises (tech, banques, immobilier). Volatilite elevee, sensible au risque reglementaire chinois.",indice;hong kong;chine;tech chinoise
EQUITY,HSCEI Index,Hang Seng China Enterprises,HK0000015542,Indice actions,Hong Kong / Chine,9300,HKD,0.26,0.038,0.0,MEDIUM,"Indice Hang Seng China Enterprises (Hong Kong / Chine) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice des principales entreprises chinoises cotees a Hong Kong (H-shares). Proxy actions Chine offshore, tres volatil.",indice;chine;h-shares;volatil
EQUITY,KOSPI2 Index,KOSPI 200,KR7069500007,Indice actions,Coree du Sud,860,KRW,0.2,0.019,0.0,MEDIUM,"Indice KOSPI 200 (Coree du Sud) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice des 200 principales valeurs coreennes (Samsung Electronics ~30% du poids, SK Hynix). Tres expose au cycle des semi-conducteurs.",indice;coree;semi-conducteurs;samsung
EQUITY,TWSE Index,TAIEX (Taiwan Weighted),TW0000001007,Indice actions,Taiwan,24500,TWD,0.22,0.028,0.0,MEDIUM,"Indice TAIEX (Taiwan Weighted) (Taiwan) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice ponadere de la Bourse de Taiwan, domina par TSMC. Coeur de la chaine de valeur mondiale des semi-conducteurs.",indice;taiwan;tsmc;semi-conducteurs
EQUITY,NIFTY Index,NIFTY 50,,Indice actions,Inde,25200,INR,0.13,0.013,0.0,LOW,"Indice NIFTY 50 (Inde) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice des 50 principales valeurs indiennes. Croissance structurelle forte, volatilite contenue, marche domestique.",indice;inde;croissance;emergent
EQUITY,SENSEX Index,BSE SENSEX,,Indice actions,Inde,82500,INR,0.13,0.012,0.0,LOW,"Indice BSE SENSEX (Inde) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.",Indice des 30 valeurs les plus etablies de la Bourse de Bombay.,indice;inde;blue chip
EQUITY,AS51 Index,S&P/ASX 200,AU000000XJO2,Indice actions,Australie,8900,AUD,0.13,0.037,0.0,LOW,"Indice S&P/ASX 200 (Australie) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice des 200 principales valeurs australiennes (banques, mineurs). Rendement du dividende eleve (franking credits).",indice;australie;mines;dividende eleve
EQUITY,ASML NA,ASML Holding NV,NL0010273215,Technologie / Semi-conducteurs,Europe (Pays-Bas),1050,EUR,0.34,0.01,0.0,EXCELLENT_FOR_AUTOCALL,"Constituant EURO STOXX 50 / Pays-Bas. Prix indicatif ~sept. 2026, a rafraichir.","Fournisseur quasi-monopolistique des machines de lithographie EUV pour la fabrication de puces. Premiere capitalisation technologique europeenne, +50% en 2026. Forte volatilite, faible dividende.",action;europe;pays-bas;euro stoxx 50;technologie
EQUITY,MC FP,LVMH Moet Hennessy Louis Vuitton SE,FR0000121014,Consommation discretionnaire / Luxe,Europe (France),470,EUR,0.3,0.028,0.0,EXCELLENT_FOR_AUTOCALL,"Constituant EURO STOXX 50 / France. Prix indicatif ~sept. 2026, a rafraichir.","Leader mondial du luxe (mode, maroquinerie, vins & spiritueux, cosmetiques). Annee 2026 difficile (-30%) sur ralentissement de la demande chinoise. Volatilite elevee, sous-jacent d'autocall tres frequent.",action;europe;france;euro stoxx 50;consommation discretionnaire
EQUITY,RMS FP,Hermes International,FR0000052292,Consommation discretionnaire / Luxe,Europe (France),2050,EUR,0.24,0.007,0.0,MEDIUM,"Constituant EURO STOXX 50 / France. Prix indicatif ~sept. 2026, a rafraichir.","Maison de luxe francaise ultra-premium (Birkin, Kelly). Pricing power exceptionnel, marges records, faible volatilite pour le secteur. Titre defensif du luxe.",action;europe;france;euro stoxx 50;consommation discretionnaire
EQUITY,OR FP,L'Oreal SA,FR0000120321,Consommation de base / Cosmetiques,Europe (France),350,EUR,0.22,0.023,0.0,MEDIUM,"Constituant EURO STOXX 50 / France. Prix indicatif ~sept. 2026, a rafraichir.","Numero un mondial des cosmetiques. Croissance reguliere, profil qualite/defensif, volatilite moderee.",action;europe;france;euro stoxx 50;consommation de base
EQUITY,SAP GR,SAP SE,DE0007164600,Technologie / Logiciels,Europe (Allemagne),250,EUR,0.26,0.011,0.0,MEDIUM,"Constituant EURO STOXX 50 / Allemagne. Prix indicatif ~sept. 2026, a rafraichir.","Editeur de logiciels de gestion d'entreprise (ERP, cloud). Premiere capitalisation logicielle europeenne. Transition cloud, croissance des revenus recurrents.",action;europe;allemagne;euro stoxx 50;technologie
EQUITY,SIE GR,Siemens AG,DE0007236101,Industrie / Biens d'equipement,Europe (Allemagne),235,EUR,0.25,0.028,0.0,MEDIUM,"Constituant EURO STOXX 50 / Allemagne. Prix indicatif ~sept. 2026, a rafraichir.","Conglomerat industriel allemand (automatisation, mobilite, sante via Siemens Healthineers). Cyclique industriel diversifie.",action;europe;allemagne;euro stoxx 50;industrie
EQUITY,TTE FP,TotalEnergies SE,FR0000120271,Energie,Europe (France),62,EUR,0.24,0.052,0.0,MEDIUM,"Constituant EURO STOXX 50 / France. Prix indicatif ~sept. 2026, a rafraichir.","Major petro-gaziere francaise en transition vers l'electricite et les renouvelables. Rendement du dividende tres eleve (~5%), rachats d'actions. Tres utilise en Reverse Convertible et Phoenix.",action;europe;france;euro stoxx 50;energie
EQUITY,SU FP,Schneider Electric SE,FR0000121972,Industrie / Gestion de l'energie,Europe (France),240,EUR,0.26,0.017,0.0,MEDIUM,"Constituant EURO STOXX 50 / France. Prix indicatif ~sept. 2026, a rafraichir.",Leader mondial de la gestion de l'energie et de l'automatisation. Beneficiaire de l'electrification et des datacenters.,action;europe;france;euro stoxx 50;industrie
EQUITY,AIR FP,Airbus SE,NL0000235190,Industrie / Aerospatiale,Europe (France / Pays-Bas),200,EUR,0.28,0.014,0.0,EXCELLENT_FOR_AUTOCALL,"Constituant EURO STOXX 50 / France / Pays-Bas. Prix indicatif ~sept. 2026, a rafraichir.",Avionneur (duopole avec Boeing). Carnet de commandes pluri-decennal ; sensible aux cadences de production et a la chaine d'approvisionnement.,action;europe;france / pays-bas;euro stoxx 50;industrie
EQUITY,ALV GR,Allianz SE,DE0008404005,Finance / Assurance,Europe (Allemagne),370,EUR,0.2,0.045,0.0,MEDIUM,"Constituant EURO STOXX 50 / Allemagne. Prix indicatif ~sept. 2026, a rafraichir.","Premier assureur europeen (dommages, vie, gestion d'actifs via PIMCO). Rendement du dividende eleve, profil defensif financier.",action;europe;allemagne;euro stoxx 50;finance
EQUITY,DTE GR,Deutsche Telekom AG,DE0005557508,Telecoms,Europe (Allemagne),33,EUR,0.19,0.032,0.0,MEDIUM,"Constituant EURO STOXX 50 / Allemagne. Prix indicatif ~sept. 2026, a rafraichir.","Operateur telecom allemand, actionnaire majoritaire de T-Mobile US (moteur de croissance). Defensif, dividende regulier.",action;europe;allemagne;euro stoxx 50;telecoms
EQUITY,BNP FP,BNP Paribas SA,FR0000131104,Finance / Banque,Europe (France),78,EUR,0.28,0.062,0.0,EXCELLENT_FOR_AUTOCALL,"Constituant EURO STOXX 50 / France. Prix indicatif ~sept. 2026, a rafraichir.","Premiere banque de la zone euro par les actifs. Banque universelle diversifiee. Rendement eleve, sensible aux taux et au credit.",action;europe;france;euro stoxx 50;finance
EQUITY,SAN FP,Sanofi SA,FR0000120578,Sante / Pharmacie,Europe (France),95,EUR,0.2,0.041,0.0,MEDIUM,"Constituant EURO STOXX 50 / France. Prix indicatif ~sept. 2026, a rafraichir.","Laboratoire pharmaceutique francais (Dupixent, vaccins). Profil defensif, dividende regulier, pipeline immunologie.",action;europe;france;euro stoxx 50;sante
EQUITY,IBE SM,Iberdrola SA,ES0144580Y14,Utilities / Electricite,Europe (Espagne),16,EUR,0.18,0.04,0.0,MEDIUM,"Constituant EURO STOXX 50 / Espagne. Prix indicatif ~sept. 2026, a rafraichir.","Utility electrique espagnole, leader mondial de l'eolien. Actifs regules, dividende eleve, defensif sensible aux taux.",action;europe;espagne;euro stoxx 50;utilities
EQUITY,ENEL IM,Enel SpA,IT0003128367,Utilities / Electricite,Europe (Italie),8,EUR,0.19,0.058,0.0,MEDIUM,"Constituant EURO STOXX 50 / Italie. Prix indicatif ~sept. 2026, a rafraichir.","Premiere utility electrique europeenne par la clientele. Fort endettement, dividende tres eleve, sensible aux taux.",action;europe;italie;euro stoxx 50;utilities
EQUITY,ITX SM,Industria de Diseno Textil (Inditex),ES0148396007,Consommation discretionnaire / Distribution,Europe (Espagne),50,EUR,0.24,0.036,0.0,MEDIUM,"Constituant EURO STOXX 50 / Espagne. Prix indicatif ~sept. 2026, a rafraichir.","Maison mere de Zara. Modele de fast-fashion integre, tresorerie nette, croissance reguliere.",action;europe;espagne;euro stoxx 50;consommation discretionnaire
EQUITY,BAS GR,BASF SE,DE000BASF111,Materiaux / Chimie,Europe (Allemagne),48,EUR,0.26,0.07,0.0,MEDIUM,"Constituant EURO STOXX 50 / Allemagne. Prix indicatif ~sept. 2026, a rafraichir.","Premier chimiste mondial. Tres cyclique et energo-intensif (couts du gaz europeen), dividende eleve mais sous surveillance.",action;europe;allemagne;euro stoxx 50;materiaux
EQUITY,BAYN GR,Bayer AG,DE000BAY0017,Sante / Pharmacie & Agrochimie,Europe (Allemagne),28,EUR,0.3,0.014,0.0,EXCELLENT_FOR_AUTOCALL,"Constituant EURO STOXX 50 / Allemagne. Prix indicatif ~sept. 2026, a rafraichir.","Groupe pharma et agrochimie allemand. Litiges Roundup, endettement eleve, dividende reduit ; volatilite elevee.",action;europe;allemagne;euro stoxx 50;sante
EQUITY,MUV2 GR,Muenchener Rueckversicherung (Munich Re),DE0008430026,Finance / Reassurance,Europe (Allemagne),520,EUR,0.19,0.033,0.0,MEDIUM,"Constituant EURO STOXX 50 / Allemagne. Prix indicatif ~sept. 2026, a rafraichir.","Premier reassureur mondial. Tarification en hausse, profil defensif financier, dividende regulier.",action;europe;allemagne;euro stoxx 50;finance
EQUITY,SAF FP,Safran SA,FR0000073272,Industrie / Aerospatiale,Europe (France),250,EUR,0.26,0.011,0.0,MEDIUM,"Constituant EURO STOXX 50 / France. Prix indicatif ~sept. 2026, a rafraichir.",Motoriste aeronautique (co-entreprise CFM avec GE) et equipementier. Forte visibilite via l'apres-vente (services moteurs).,action;europe;france;euro stoxx 50;industrie
EQUITY,EL FP,EssilorLuxottica SA,FR0000121667,Sante / Optique,Europe (France),250,EUR,0.22,0.017,0.0,MEDIUM,"Constituant EURO STOXX 50 / France. Prix indicatif ~sept. 2026, a rafraichir.","Leader mondial de l'optique (verres Essilor, montures Ray-Ban/Oakley). Quasi-monopole, marges elevees, lunettes connectees.",action;europe;france;euro stoxx 50;sante
EQUITY,BBVA SM,Banco Bilbao Vizcaya Argentaria,ES0113211835,Finance / Banque,Europe (Espagne),13,EUR,0.28,0.058,0.0,EXCELLENT_FOR_AUTOCALL,"Constituant EURO STOXX 50 / Espagne. Prix indicatif ~sept. 2026, a rafraichir.","Banque espagnole a forte exposition Mexique et Turquie. Rentabilite elevee, sensible aux devises emergentes.",action;europe;espagne;euro stoxx 50;finance
EQUITY,SAN SM,Banco Santander SA,ES0113900J37,Finance / Banque,Europe (Espagne),6.5,EUR,0.28,0.045,0.0,EXCELLENT_FOR_AUTOCALL,"Constituant EURO STOXX 50 / Espagne. Prix indicatif ~sept. 2026, a rafraichir.","Premiere banque de la zone euro par la capitalisation, tres diversifiee geographiquement (Bresil, Espagne, Royaume-Uni, USA).",action;europe;espagne;euro stoxx 50;finance
EQUITY,INGA NA,ING Groep NV,NL0011821202,Finance / Banque,Europe (Pays-Bas),20,EUR,0.27,0.07,0.0,MEDIUM,"Constituant EURO STOXX 50 / Pays-Bas. Prix indicatif ~sept. 2026, a rafraichir.","Banque de detail neerlandaise, pionniere de la banque en ligne. Rendement du capital eleve (dividende + rachats).",action;europe;pays-bas;euro stoxx 50;finance
EQUITY,ISP IM,Intesa Sanpaolo SpA,IT0000072618,Finance / Banque,Europe (Italie),5.5,EUR,0.26,0.085,0.0,MEDIUM,"Constituant EURO STOXX 50 / Italie. Prix indicatif ~sept. 2026, a rafraichir.",Premiere banque de detail italienne. Rendement du dividende parmi les plus eleves du STOXX 50.,action;europe;italie;euro stoxx 50;finance
EQUITY,UCG IM,UniCredit SpA,IT0005239360,Finance / Banque,Europe (Italie),65,EUR,0.3,0.055,0.0,EXCELLENT_FOR_AUTOCALL,"Constituant EURO STOXX 50 / Italie. Prix indicatif ~sept. 2026, a rafraichir.","Banque paneuropeenne (Italie, Allemagne, Europe centrale). Forte remontee de capital, M&A (Commerzbank, BPM).",action;europe;italie;euro stoxx 50;finance
EQUITY,STLAM IM,Stellantis NV,NL00150001Q9,Consommation discretionnaire / Automobile,Europe (Multi (FR/IT/US)),9,EUR,0.34,0.09,0.0,EXCELLENT_FOR_AUTOCALL,"Constituant EURO STOXX 50 / Multi (FR/IT/US). Prix indicatif ~sept. 2026, a rafraichir.","Constructeur automobile ne de la fusion PSA-FCA (14 marques). Marges sous forte pression en 2025-2026, dividende tres eleve, volatilite elevee.",action;europe;multi (fr/it/us);euro stoxx 50;consommation discretionnaire
EQUITY,DB1 GR,Deutsche Boerse AG,DE0005810055,Finance / Infrastructure de marche,Europe (Allemagne),240,EUR,0.19,0.02,0.0,MEDIUM,"Constituant EURO STOXX 50 / Allemagne. Prix indicatif ~sept. 2026, a rafraichir.","Operateur boursier et de chambre de compensation (Eurex, Clearstream). Beneficiaire de la volatilite et des taux, profil qualite.",action;europe;allemagne;euro stoxx 50;finance
EQUITY,ADYEN NA,Adyen NV,NL0012969182,Technologie / Paiements,Europe (Pays-Bas),1600,EUR,0.38,0.0,0.0,EXCELLENT_FOR_AUTOCALL,"Constituant EURO STOXX 50 / Pays-Bas. Prix indicatif ~sept. 2026, a rafraichir.","Plateforme de paiement pour grands comptes (croissance forte). Valorisation elevee, pas de dividende, tres volatile.",action;europe;pays-bas;euro stoxx 50;technologie
EQUITY,PRX NA,Prosus NV,NL0013654783,Technologie / Holding internet,Europe (Pays-Bas),55,EUR,0.3,0.004,0.0,EXCELLENT_FOR_AUTOCALL,"Constituant EURO STOXX 50 / Pays-Bas. Prix indicatif ~sept. 2026, a rafraichir.","Holding technologique (participation majeure dans Tencent, actifs e-commerce). Decote de holding, proxy tech chinoise.",action;europe;pays-bas;euro stoxx 50;technologie
EQUITY,WKL NA,Wolters Kluwer NV,NL0000395903,Technologie / Information professionnelle,Europe (Pays-Bas),160,EUR,0.2,0.017,0.0,MEDIUM,"Constituant EURO STOXX 50 / Pays-Bas. Prix indicatif ~sept. 2026, a rafraichir.","Editeur d'information et de logiciels pour les professionnels (sante, droit, fiscalite). Revenus recurrents, defensif de croissance.",action;europe;pays-bas;euro stoxx 50;technologie
EQUITY,PHIA NA,Koninklijke Philips NV,NL0000009538,Sante / Technologie medicale,Europe (Pays-Bas),28,EUR,0.3,0.03,0.0,EXCELLENT_FOR_AUTOCALL,"Constituant EURO STOXX 50 / Pays-Bas. Prix indicatif ~sept. 2026, a rafraichir.","Groupe de technologie medicale (imagerie, soins connectes). Sortie de crise (rappel respirateurs), redressement des marges.",action;europe;pays-bas;euro stoxx 50;sante
EQUITY,AD NA,Koninklijke Ahold Delhaize NV,NL0011794037,Consommation de base / Distribution alimentaire,Europe (Pays-Bas),34,EUR,0.17,0.037,0.0,LOW,"Constituant EURO STOXX 50 / Pays-Bas. Prix indicatif ~sept. 2026, a rafraichir.","Distributeur alimentaire (Albert Heijn, Food Lion, Stop & Shop). Tres defensif, dividende regulier, forte exposition USA.",action;europe;pays-bas;euro stoxx 50;consommation de base
EQUITY,KER FP,Kering SA,FR0000121485,Consommation discretionnaire / Luxe,Europe (France),240,EUR,0.37,0.038,0.0,EXCELLENT_FOR_AUTOCALL,"Constituant EURO STOXX 50 / France. Prix indicatif ~sept. 2026, a rafraichir.","Groupe de luxe (Gucci, Saint Laurent, Bottega Veneta). Redressement de Gucci en cours, forte volatilite implicite, coupon autocall parmi les plus eleves du secteur.",action;europe;france;euro stoxx 50;consommation discretionnaire
EQUITY,DG FP,Vinci SA,FR0000125486,Industrie / Concessions & Construction,Europe (France),120,EUR,0.2,0.037,0.0,MEDIUM,"Constituant EURO STOXX 50 / France. Prix indicatif ~sept. 2026, a rafraichir.","Concessions autoroutieres et aeroportuaires + construction. Cash-flows previsibles indexes a l'inflation, dividende regulier.",action;europe;france;euro stoxx 50;industrie
EQUITY,BN FP,Danone SA,FR0000120644,Consommation de base / Agroalimentaire,Europe (France),70,EUR,0.18,0.033,0.0,MEDIUM,"Constituant EURO STOXX 50 / France. Prix indicatif ~sept. 2026, a rafraichir.","Groupe agroalimentaire (produits laitiers, eaux, nutrition). Defensif, redressement des volumes, dividende regulier.",action;europe;france;euro stoxx 50;consommation de base
EQUITY,RI FP,Pernod Ricard SA,FR0000120693,Consommation de base / Spiritueux,Europe (France),95,EUR,0.24,0.043,0.0,MEDIUM,"Constituant EURO STOXX 50 / France. Prix indicatif ~sept. 2026, a rafraichir.","Numero deux mondial des spiritueux (Absolut, Jameson, Martell). Destockage post-Covid, exposition Chine/USA, volatilite remontee.",action;europe;france;euro stoxx 50;consommation de base
EQUITY,CS FP,AXA SA,FR0000120628,Finance / Assurance,Europe (France),40,EUR,0.2,0.058,0.0,MEDIUM,"Constituant EURO STOXX 50 / France. Prix indicatif ~sept. 2026, a rafraichir.","Assureur multiligne francais (dommages, sante, gestion d'actifs). Rendement du dividende eleve, profil defensif financier.",action;europe;france;euro stoxx 50;finance
EQUITY,ENGI FP,Engie SA,FR0010208488,Utilities / Energie,Europe (France),18,EUR,0.2,0.055,0.0,MEDIUM,"Constituant EURO STOXX 50 / France. Prix indicatif ~sept. 2026, a rafraichir.","Utility francaise (renouvelables, reseaux, infrastructures). Dividende eleve, sensible aux prix de l'energie et aux taux.",action;europe;france;euro stoxx 50;utilities
